date,time,brightness,altitude,azimuth,satellite,distance to flare centre,brightness at flare centre,sun altitude,city,country,latitude,longitude,
Mar 11, 04:03:18,0.1,26°,15° (NNE),Iridium 10,45 km (W),-6.8,-14°,Oslo,Norway,59.95,10.7,
Mar 11, 04:50:16,0.5,15°,53° (NE),Iridium 67,131 km (E),-5.6,-8°,Oslo,Norway,59.95,10.7,
Mar 11, 04:59:39,-2.9,17°,55° (NE),Iridium 68,42 km (E),-5.7,-7°,Oslo,Norway,59.95,10.7,
Mar 11, 20:21:33,0.7,9°,3° (N),Iridium 75,181 km (E),-5.7,-23°,Oslo,Norway,59.95,10.7,
Mar 12, 03:48:34,-0.1,21°,16° (NNE),Iridium 12,47 km (E),-6.4,-15°,Oslo,Norway,59.95,10.7,
Mar 12, 03:50:16,-0.6,21°,16° (NNE),Iridium 90,39 km (E),-6.5,-15°,Oslo,Norway,59.95,10.7,
Mar 12, 04:34:47,-1.5,13°,50° (NE),Iridium 21,81 km (E),-5.5,-9°,Oslo,Norway,59.95,10.7,
Mar 12, 04:44:11,-3.6,15°,53° (NE),Iridium 72,41 km (W),-5.6,-8°,Oslo,Norway,59.95,10.7,
Mar 12, 04:53:33,-0.6,17°,55° (NE),Iridium 75,101 km (W),-5.7,-7°,Oslo,Norway,59.95,10.7,
Mar 12, 17:31:29,-6.0,59°,175° (S),Iridium 80,5 km (W),-8.2,-3°,Oslo,Norway,59.95,10.7,
Mar 12, 20:15:17,-5.6,10°,3° (N),Iridium 14,15 km (W),-5.8,-22°,Oslo,Norway,59.95,10.7,
Mar 13, 03:42:35,-2.3,20°,15° (NNE),Iridium 86,26 km (W),-6.4,-15°,Oslo,Norway,59.95,10.7,
Mar 13, 04:09:53,-5.2,11°,44° (NE),Iridium 72,25 km (E),-5.3,-12°,Oslo,Norway,59.95,10.7,
Mar 13, 04:19:17,-5.3,12°,47° (NE),Iridium 75,7 km (W),-5.3,-11°,Oslo,Norway,59.95,10.7,
Mar 13, 04:28:41,-2.3,13°,49° (NE),Iridium 70,74 km (W),-5.4,-10°,Oslo,Norway,59.95,10.7,
Mar 6, 22:46:29,-1.2,39°,0° (N),Iridium 56,24 km (E),-7.7,-16°,Veracruz,Mexico,19.17,96.17,
Mar 7, 22:40:29,-4.8,37°,357° (N),Iridium 84,9 km (W),-7.6,-17°,Veracruz,Mexico,19.17,96.17,
Mar 8, 12:26:47,-0.3,48°,165° (SSE),Iridium 81,31 km (E),-8.1,-11°,Veracruz,Mexico,19.17,96.17,
Mar 8, 22:34:33,-1.4,35°,359° (N),Iridium 12,23 km (E),-7.5,-18°,Veracruz,Mexico,19.17,96.17,
Mar 9, 22:28:40,-3.4,32°,358° (N),Iridium 86,12 km (E),-7.4,-20°,Veracruz,Mexico,19.17,96.17,
Mar 11, 12:13:33,-8.0,52°,174° (S),Iridium 81,3 km (W),-8.1,-8°,Veracruz,Mexico,19.17,96.17,
Mar 8, 02:59:26,-0.5,33°,4° (N),Iridium 86,31 km (E),-7.4,-17°,Durban,South Africa,29.88,30.88,
Mar 10, 18:10:18,-2.2,14°,11° (N),Iridium 65,22 km (W),-6.4,-29°,Durban,South Africa,29.88,30.88,
Mar 11, 02:43:32,0.1,28°,4° (N),Iridium 90,39 km (E),-7.2,-20°,Durban,South Africa,29.88,30.88,
Mar 11, 18:03:57,-0.7,16°,12° (NNE),Iridium 68,37 km (E),-6.5,-27°,Durban,South Africa,29.88,30.88,
Mar 6, 09:15:26,-3.5,51°,157° (SSE),Iridium 80,12 km (E),-8.2,-12°,Melbourne,Australia,37.78,144.97,
Mar 6, 19:33:49,-6.9,36°,5° (N),Iridium 90,5 km (W),-7.6,-15°,Melbourne,Australia,37.78,144.97,
Mar 9, 19:13:16,-0.1,28°,7° (N),Iridium 86,37 km (E),-7.1,-18°,Melbourne,Australia,37.78,144.97,
Mar 10, 08:41:16,-3.8,55°,181° (S),Iridium 39,10 km (W),-8.2,-5°,Melbourne,Australia,37.78,144.97,
Mar 10, 10:45:51,0.0,9°,7° (N),Iridium 75,347 km (W),-6.0,-29°,Melbourne,Australia,37.78,144.97,
Mar 10, 20:29:18,-6.2,53°,14° (NNE),Iridium 82,10 km (W),-8.3,-3°,Melbourne,Australia,37.78,144.97,
Mar 11, 10:39:25,-6.1,11°,7° (N),Iridium 14,1 km (E),-6.1,-27°,Melbourne,Australia,37.78,144.97,
Mar 11, 19:01:36,0.8,23°,8° (N),Iridium 10,53 km (E),-6.8,-20°,Melbourne,Australia,37.78,144.97,
Mar 12, 10:32:36,-6.4,16°,8° (N),Iridium 66,2 km (W),-6.5,-26°,Melbourne,Australia,37.78,144.97,
Mar 12, 18:55:50,0.8,21°,8° (N),Iridium 13,56 km (E),-6.6,-20°,Melbourne,Australia,37.78,144.97,
Mar 7, 22:31:26,0.1,37°,356° (N),Iridium 53,39 km (W),-7.7,-17°,Mexico City,Mexico,19.43,99.12,
Mar 8, 12:17:34,-1.0,49°,170° (S),Iridium 15,26 km (W),-8.1,-12°,Mexico City,Mexico,19.43,99.12,
Mar 8, 22:25:35,-2.2,35°,357° (N),Iridium 54,19 km (W),-7.6,-18°,Mexico City,Mexico,19.43,99.12,
Mar 9, 22:19:37,-0.7,33°,356° (N),Iridium 83,31 km (W),-7.5,-19°,Mexico City,Mexico,19.43,99.12,
Mar 10, 12:08:11,-1.1,51°,174° (S),Iridium 80,25 km (W),-8.1,-9°,Mexico City,Mexico,19.43,99.12,
Mar 10, 22:13:45,-1.1,31°,359° (N),Iridium 56,26 km (E),-7.4,-20°,Mexico City,Mexico,19.43,99.12,
Mar 11, 22:07:48,-5.5,29°,357° (N),Iridium 84,8 km (W),-7.3,-21°,Mexico City,Mexico,19.43,99.12,
Mar 12, 22:01:56,-1.8,26°,359° (N),Iridium 12,22 km (E),-7.1,-23°,Mexico City,Mexico,19.43,99.12,
Mar 7, 02:32:57,0.8,40°,359° (N),Iridium 84,45 km (E),-7.7,-17°,Salvador,Brazil,12.93,38.45,
Mar 7, 16:26:41,0.8,47°,172° (S),Iridium 81,45 km (W),-8.0,-13°,Salvador,Brazil,12.93,38.45,
Mar 13, 02:06:37,-3.9,29°,354° (N),Iridium 56,12 km (W),-7.3,-22°,Salvador,Brazil,12.93,38.45,
Mar 6, 10:05:54,-1.3,54°,160° (SSE),Iridium 15,25 km (W),-8.3,-12°,Vladivostok,Russia,43.17,132.0,
Mar 6, 20:27:14,-0.9,35°,6° (N),Iridium 12,28 km (W),-7.4,-14°,Vladivostok,Russia,43.17,132.0,
Mar 8, 09:16:37,-5.1,55°,184° (S),Iridium 82,8 km (E),-9.0,-2°,Vladivostok,Russia,43.17,132.0,
Mar 8, 09:56:30,-5.7,55°,163° (SSE),Iridium 98,6 km (W),-8.2,-9°,Vladivostok,Russia,43.17,132.0,
Mar 8, 20:15:24,-5.0,31°,8° (N),Iridium 52,8 km (W),-7.2,-15°,Vladivostok,Russia,43.17,132.0,
Mar 9, 09:52:47,-0.3,56°,170° (S),Iridium 15,31 km (W),-8.2,-9°,Vladivostok,Russia,43.17,132.0,
Mar 9, 20:09:29,0.2,29°,7° (N),Iridium 10,43 km (W),-7.2,-16°,Vladivostok,Russia,43.17,132.0,
Mar 10, 20:03:36,-0.1,27°,7° (N),Iridium 13,40 km (W),-7.0,-17°,Vladivostok,Russia,43.17,132.0,
Mar 11, 19:57:44,-0.3,25°,8° (N),Iridium 50,38 km (W),-6.9,-18°,Vladivostok,Russia,43.17,132.0,
Mar 12, 19:51:51,0.7,24°,8° (N),Iridium 53,56 km (W),-6.8,-18°,Vladivostok,Russia,43.17,132.0,
Mar 6, 18:16:22,-0.7,56°,161° (SSE),Iridium 18,28 km (W),-8.3,-11°,Zürich,Switzerland,47.35,8.52,
Mar 7, 04:41:46,0.6,34°,7° (N),Iridium 54,44 km (W),-7.4,-13°,Zürich,Switzerland,47.35,8.52,
Mar 8, 05:00:26,-2.9,44°,9° (N),Iridium 40,8 km (W),-9.4,-10°,Zürich,Switzerland,47.35,8.52,
Mar 9, 04:29:52,0.8,31°,8° (N),Iridium 56,50 km (W),-7.2,-15°,Zürich,Switzerland,47.35,8.52,
Mar 9, 18:03:16,-0.3,57°,170° (S),Iridium 18,31 km (W),-8.3,-8°,Zürich,Switzerland,47.35,8.52,
Mar 10, 04:46:33,-1.1,40°,13° (NNE),Iridium 40,22 km (E),-9.1,-11°,Zürich,Switzerland,47.35,8.52,
Mar 11, 19:59:41,-4.9,9°,3° (N),Iridium 21,7 km (E),-5.9,-26°,Zürich,Switzerland,47.35,8.52,
Mar 12, 04:03:21,-0.6,21°,12° (NNE),Iridium 83,38 km (E),-6.6,-18°,Zürich,Switzerland,47.35,8.52,
Mar 12, 05:25:30,-4.6,10°,74° (ENE),Iridium 14,23 km (E),-4.7,-4°,Zürich,Switzerland,47.35,8.52,
Mar 12, 19:53:03,-6.0,12°,4° (N),Iridium 70,3 km (W),-6.1,-25°,Zürich,Switzerland,47.35,8.52,
Mar 13, 03:57:37,0.1,19°,12° (NNE),Iridium 56,49 km (E),-6.5,-19°,Zürich,Switzerland,47.35,8.52,
Mar 6, 18:19:38,0.7,53°,164° (SSE),Iridium 39,41 km (E),-8.3,-8°,Madrid,Spain,40.43,3.7,
Mar 6, 18:36:39,-2.7,53°,158° (SSE),Iridium 81,15 km (E),-8.3,-11°,Madrid,Spain,40.43,3.7,
Mar 7, 04:57:59,-2.4,35°,6° (N),Iridium 13,18 km (W),-7.4,-15°,Madrid,Spain,40.43,3.7,
Mar 8, 04:52:04,-7.2,33°,7° (N),Iridium 50,4 km (W),-7.3,-15°,Madrid,Spain,40.43,3.7,
Mar 8, 04:51:56,-1.4,33°,5° (N),Iridium 90,24 km (W),-7.4,-15°,Madrid,Spain,40.43,3.7,
Mar 8, 18:28:45,-6.2,54°,165° (SSE),Iridium 41,6 km (W),-8.2,-9°,Madrid,Spain,40.43,3.7,
Mar 9, 04:46:09,-7.1,31°,7° (N),Iridium 53,5 km (W),-7.2,-16°,Madrid,Spain,40.43,3.7,
Mar 9, 18:23:30,-5.9,55°,167° (SSE),Iridium 81,5 km (E),-8.2,-8°,Madrid,Spain,40.43,3.7,
Mar 10, 04:40:21,-6.1,29°,7° (N),Iridium 54,7 km (W),-7.1,-17°,Madrid,Spain,40.43,3.7,
Mar 10, 20:12:57,-0.9,9°,5° (N),Iridium 67,43 km (E),-5.9,-28°,Madrid,Spain,40.43,3.7,
Mar 11, 04:34:23,0.1,27°,6° (N),Iridium 83,43 km (W),-7.0,-18°,Madrid,Spain,40.43,3.7,
Mar 11, 20:06:29,-3.0,11°,5° (N),Iridium 72,20 km (W),-6.1,-27°,Madrid,Spain,40.43,3.7,
Mar 12, 04:28:36,-3.3,25°,7° (N),Iridium 56,15 km (W),-6.9,-19°,Madrid,Spain,40.43,3.7,
Mar 12, 18:10:22,-5.0,56°,177° (S),Iridium 81,7 km (W),-8.2,-5°,Madrid,Spain,40.43,3.7,
Mar 12, 19:59:41,-5.9,16°,6° (N),Iridium 62,7 km (W),-6.4,-25°,Madrid,Spain,40.43,3.7,
Mar 8, 05:04:59,1.0,32°,10° (N),Iridium 56,53 km (W),-7.3,-13°,Leeds,England,53.75,1.5,
Mar 11, 04:38:17,-5.8,24°,13° (NNE),Iridium 83,8 km (E),-6.7,-16°,Leeds,England,53.75,1.5,
Mar 11, 20:37:51,-0.1,10°,3° (N),Iridium 62,99 km (E),-5.9,-25°,Leeds,England,53.75,1.5,
Mar 12, 04:32:28,-3.7,22°,14° (NNE),Iridium 56,14 km (E),-6.6,-16°,Leeds,England,53.75,1.5,
Mar 12, 05:41:22,-5.0,13°,64° (ENE),Iridium 65,29 km (E),-5.2,-6°,Leeds,England,53.75,1.5,
Mar 12, 20:31:25,-6.0,12°,3° (N),Iridium 65,2 km (E),-6.0,-23°,Leeds,England,53.75,1.5,
Mar 13, 05:25:53,-2.7,11°,61° (ENE),Iridium 67,75 km (W),-5.0,-8°,Leeds,England,53.75,1.5,
Mar 13, 05:35:16,0.4,13°,64° (ENE),Iridium 68,187 km (W),-5.2,-7°,Leeds,England,53.75,1.5,
Mar 7, 03:59:18,-0.2,32°,15° (NNE),Iridium 90,35 km (E),-7.2,-12°,Stockholm,Sweden,59.28,18.05,
Mar 7, 05:34:07,-6.3,27°,68° (ENE),Iridium 68,3 km (W),-6.3,0°,Stockholm,Sweden,59.28,18.05,
Mar 8, 03:53:30,-7.1,30°,14° (NNE),Iridium 84,1 km (E),-7.1,-13°,Stockholm,Sweden,59.28,18.05,
Mar 8, 17:15:39,0.3,58°,157° (SSE),Iridium 81,36 km (E),-8.3,-6°,Stockholm,Sweden,59.28,18.05,
Mar 9, 03:47:33,-4.4,29°,14° (NNE),Iridium 12,10 km (W),-7.0,-13°,Stockholm,Sweden,59.28,18.05,
Mar 11, 03:35:41,-0.2,26°,14° (NNE),Iridium 52,41 km (W),-6.8,-14°,Stockholm,Sweden,59.28,18.05,
Mar 11, 04:32:30,-3.3,17°,57° (ENE),Iridium 65,37 km (E),-5.6,-6°,Stockholm,Sweden,59.28,18.05,
Mar 12, 03:20:55,-3.1,21°,16° (NNE),Iridium 84,18 km (E),-6.5,-15°,Stockholm,Sweden,59.28,18.05,
Mar 12, 04:07:39,-2.1,13°,51° (NE),Iridium 66,70 km (E),-5.4,-9°,Stockholm,Sweden,59.28,18.05,
Mar 12, 04:17:01,-5.4,15°,54° (NE),Iridium 67,11 km (W),-5.5,-8°,Stockholm,Sweden,59.28,18.05,
Mar 12, 04:26:24,-0.6,16°,56° (ENE),Iridium 68,100 km (W),-5.6,-7°,Stockholm,Sweden,59.28,18.05,
Mar 12, 19:38:08,-1.5,13°,3° (N),Iridium 72,45 km (E),-6.0,-22°,Stockholm,Sweden,59.28,18.05,
Mar 12, 19:48:00,-2.3,9°,3° (N),Iridium 75,44 km (W),-5.7,-23°,Stockholm,Sweden,59.28,18.05,
Mar 13, 03:14:58,-4.1,20°,15° (NNE),Iridium 12,14 km (W),-6.4,-15°,Stockholm,Sweden,59.28,18.05,
Mar 13, 03:42:42,-3.0,10°,45° (NE),Iridium 67,71 km (E),-5.2,-12°,Stockholm,Sweden,59.28,18.05,
Mar 13, 03:52:09,-5.3,11°,48° (NE),Iridium 68,1 km (E),-5.3,-11°,Stockholm,Sweden,59.28,18.05,
Mar 13, 04:01:33,-1.1,13°,51° (NE),Iridium 21,114 km (W),-5.4,-10°,Stockholm,Sweden,59.28,18.05,
Mar 6, 17:43:49,-4.2,56°,158° (SSE),Iridium 98,10 km (W),-8.3,-10°,Vienna,Austria,48.23,16.33,
Mar 7, 17:38:22,-4.6,56°,159° (SSE),Iridium 18,8 km (E),-8.3,-9°,Vienna,Austria,48.23,16.33,
Mar 8, 03:59:32,-1.7,31°,11° (N),Iridium 10,22 km (E),-7.2,-15°,Vienna,Austria,48.23,16.33,
Mar 9, 03:53:39,-1.6,29°,11° (N),Iridium 13,23 km (E),-7.1,-15°,Vienna,Austria,48.23,16.33,
Mar 10, 03:47:46,-1.7,27°,11° (NNE),Iridium 50,24 km (E),-6.9,-16°,Vienna,Austria,48.23,16.33,
Mar 10, 17:25:15,-5.5,57°,168° (SSE),Iridium 18,6 km (E),-8.3,-6°,Vienna,Austria,48.23,16.33,
Mar 11, 03:41:51,-5.0,25°,11° (N),Iridium 53,9 km (E),-6.8,-17°,Vienna,Austria,48.23,16.33,
Mar 12, 03:36:02,-4.6,24°,11° (N),Iridium 54,11 km (W),-6.8,-17°,Vienna,Austria,48.23,16.33,
Mar 12, 04:57:52,-4.8,11°,74° (ENE),Iridium 75,3 km (W),-4.8,-4°,Vienna,Austria,48.23,16.33,
Mar 12, 19:26:29,0.7,9°,2° (N),Iridium 21,76 km (W),-5.8,-25°,Vienna,Austria,48.23,16.33,
Mar 11, 11:33:36,0.4,53°,177° (S),Iridium 80,39 km (W),-8.1,-8°,Mazatlán,Mexico,23.2,106.42,
Mar 11, 21:41:34,-0.7,29°,358° (N),Iridium 56,32 km (W),-7.2,-20°,Mazatlán,Mexico,23.2,106.42,
Mar 12, 11:25:29,0.5,53°,171° (S),Iridium 15,38 km (E),-8.2,-6°,Mazatlán,Mexico,23.2,106.42,
Mar 7, 00:42:37,-1.9,41°,354° (N),Iridium 53,21 km (W),-7.8,-16°,Caracas,Venezuela,10.47,67.03,
Mar 8, 00:36:46,-6.8,39°,355° (N),Iridium 54,4 km (E),-7.8,-17°,Caracas,Venezuela,10.47,67.03,
Mar 9, 00:30:45,-7.7,37°,354° (N),Iridium 83,1 km (W),-7.7,-18°,Caracas,Venezuela,10.47,67.03,
Mar 11, 00:18:51,0.1,33°,355° (N),Iridium 84,38 km (E),-7.5,-21°,Caracas,Venezuela,10.47,67.03,
Mar 11, 00:38:43,-2.8,45°,358° (N),Iridium 40,13 km (E),-9.9,-16°,Caracas,Venezuela,10.47,67.03,
Mar 12, 00:15:59,-3.4,32°,352° (N),Iridium 90,14 km (W),-7.5,-22°,Caracas,Venezuela,10.47,67.03,
Mar 7, 04:34:18,-0.9,33°,11° (N),Iridium 10,29 km (W),-7.3,-13°,Hamburg,Germany,53.55,10.03,
Mar 8, 04:28:22,-0.7,32°,11° (N),Iridium 13,31 km (W),-7.2,-13°,Hamburg,Germany,53.55,10.03,
Mar 8, 17:17:32,-6.8,55°,184° (S),Iridium 82,6 km (E),-9.0,-2°,Hamburg,Germany,53.55,10.03,
Mar 9, 04:22:27,-0.5,30°,11° (NNE),Iridium 50,34 km (W),-7.1,-14°,Hamburg,Germany,53.55,10.03,
Mar 9, 17:51:29,-5.5,58°,166° (SSE),Iridium 41,7 km (W),-8.2,-7°,Hamburg,Germany,53.55,10.03,
Mar 10, 04:16:31,0.7,28°,11° (NNE),Iridium 53,51 km (W),-7.0,-14°,Hamburg,Germany,53.55,10.03,
Mar 10, 05:45:00,-5.5,19°,72° (ENE),Iridium 21,10 km (W),-5.6,-1°,Hamburg,Germany,53.55,10.03,
Mar 11, 04:01:47,0.5,23°,14° (NNE),Iridium 10,52 km (E),-6.6,-16°,Hamburg,Germany,53.55,10.03,
Mar 11, 05:29:36,-5.1,16°,69° (ENE),Iridium 75,22 km (E),-5.4,-3°,Hamburg,Germany,53.55,10.03,
Mar 12, 03:55:54,-1.0,21°,14° (NNE),Iridium 13,35 km (E),-6.5,-16°,Hamburg,Germany,53.55,10.03,
Mar 12, 05:04:50,0.8,12°,63° (ENE),Iridium 70,165 km (E),-5.1,-6°,Hamburg,Germany,53.55,10.03,
Mar 13, 03:50:01,-4.3,20°,14° (NNE),Iridium 50,13 km (E),-6.4,-17°,Hamburg,Germany,53.55,10.03,
Mar 13, 04:49:21,-5.0,10°,61° (ENE),Iridium 14,3 km (W),-5.0,-8°,Hamburg,Germany,53.55,10.03,
Mar 13, 04:58:43,-0.4,12°,63° (ENE),Iridium 64,149 km (W),-5.1,-7°,Hamburg,Germany,53.55,10.03,
Mar 6, 18:18:53,0.2,53°,164° (SSE),Iridium 18,38 km (W),-8.2,-12°,Lisbon,Portugal,38.73,9.15,
Mar 12, 04:30:02,-4.4,38°,8° (N),Iridium 40,10 km (E),-9.1,-14°,Lisbon,Portugal,38.73,9.15,
Mar 7, 01:53:03,0.2,43°,355° (N),Iridium 50,38 km (E),-7.9,-16°,Belém,Brazil,1.47,48.48,
Mar 8, 15:43:05,0.4,45°,169° (S),Iridium 15,39 km (E),-8.0,-12°,Belém,Brazil,1.47,48.48,
Mar 10, 01:36:57,0.4,39°,352° (N),Iridium 90,41 km (E),-7.8,-20°,Belém,Brazil,1.47,48.48,
Mar 10, 15:34:16,-2.9,48°,173° (S),Iridium 80,14 km (E),-8.0,-10°,Belém,Brazil,1.47,48.48,
Mar 11, 15:29:46,-3.2,49°,178° (S),Iridium 15,13 km (W),-8.0,-8°,Belém,Brazil,1.47,48.48,
Mar 13, 01:26:30,0.6,31°,345° (NNW),Iridium 13,48 km (W),-7.5,-22°,Belém,Brazil,1.47,48.48,
Mar 8, 15:45:50,0.2,51°,171° (S),Iridium 81,37 km (W),-8.1,-11°,São Paulo,Brazil,23.52,46.52,
Mar 10, 15:37:04,-0.3,52°,174° (S),Iridium 98,31 km (W),-8.1,-9°,São Paulo,Brazil,23.52,46.52,
Mar 11, 01:44:58,-1.5,30°,358° (N),Iridium 52,25 km (W),-7.3,-20°,São Paulo,Brazil,23.52,46.52,
Mar 12, 01:39:06,0.3,27°,358° (N),Iridium 10,43 km (W),-7.2,-21°,São Paulo,Brazil,23.52,46.52,
Mar 13, 01:33:16,-2.3,25°,359° (N),Iridium 13,20 km (W),-7.1,-22°,São Paulo,Brazil,23.52,46.52,
Mar 7, 04:19:16,0.3,35°,1° (N),Iridium 84,40 km (W),-7.5,-15°,Tripoli,Libya,32.95,13.2,
Mar 8, 04:13:21,-2.0,34°,3° (N),Iridium 12,20 km (W),-7.4,-16°,Tripoli,Libya,32.95,13.2,
Mar 9, 04:07:27,0.3,31°,2° (N),Iridium 86,43 km (W),-7.3,-17°,Tripoli,Libya,32.95,13.2,
Mar 9, 04:07:58,-1.0,32°,2° (N),Iridium 90,27 km (W),-7.4,-17°,Tripoli,Libya,32.95,13.2,
Mar 9, 17:48:19,0.5,52°,163° (SSE),Iridium 98,39 km (E),-8.2,-9°,Tripoli,Libya,32.95,13.2,
Mar 10, 04:01:34,-2.4,29°,5° (N),Iridium 52,18 km (E),-7.2,-18°,Tripoli,Libya,32.95,13.2,
Mar 10, 19:24:51,-1.8,11°,8° (N),Iridium 62,24 km (W),-6.1,-29°,Tripoli,Libya,32.95,13.2,
Mar 11, 03:55:41,-4.5,27°,4° (N),Iridium 10,10 km (W),-7.1,-19°,Tripoli,Libya,32.95,13.2,
Mar 11, 19:17:55,-6.4,16°,10° (N),Iridium 65,4 km (E),-6.5,-27°,Tripoli,Libya,32.95,13.2,
Mar 12, 03:49:51,-6.9,25°,5° (N),Iridium 13,2 km (E),-7.0,-20°,Tripoli,Libya,32.95,13.2,
Mar 12, 19:11:36,0.8,17°,11° (NNE),Iridium 68,55 km (E),-6.6,-26°,Tripoli,Libya,32.95,13.2,
Mar 13, 03:44:03,-3.6,23°,5° (N),Iridium 50,14 km (E),-6.8,-21°,Tripoli,Libya,32.95,13.2,
Mar 7, 03:35:06,-4.4,34°,6° (N),Iridium 86,9 km (E),-7.4,-15°,Athens,Greece,37.97,23.72,
Mar 7, 17:13:22,0.2,52°,158° (SSE),Iridium 98,37 km (E),-8.2,-10°,Athens,Greece,37.97,23.72,
Mar 9, 03:23:18,-0.1,30°,8° (N),Iridium 10,37 km (E),-7.2,-17°,Athens,Greece,37.97,23.72,
Mar 10, 03:17:27,0.7,27°,8° (N),Iridium 13,48 km (E),-7.0,-18°,Athens,Greece,37.97,23.72,
Mar 10, 18:50:11,-2.3,8°,6° (N),Iridium 21,5 km (E),-5.9,-29°,Athens,Greece,37.97,23.72,
Mar 11, 18:43:24,-3.6,12°,7° (N),Iridium 70,15 km (E),-6.2,-27°,Athens,Greece,37.97,23.72,
Mar 12, 03:05:47,0.8,23°,8° (N),Iridium 53,53 km (E),-6.8,-20°,Athens,Greece,37.97,23.72,
Mar 12, 18:36:38,-6.4,16°,8° (N),Iridium 64,3 km (E),-6.5,-26°,Athens,Greece,37.97,23.72,
Mar 13, 03:00:02,-0.1,21°,8° (N),Iridium 54,43 km (E),-6.6,-20°,Athens,Greece,37.97,23.72,
Mar 13, 03:02:09,-1.0,23°,6° (N),Iridium 90,32 km (W),-6.9,-20°,Athens,Greece,37.97,23.72,
Mar 6, 14:22:00,-5.9,47°,165° (SSE),Iridium 80,6 km (W),-8.0,-14°,Iquique,Chile,20.17,70.12,
Mar 7, 00:28:21,0.1,38°,1° (N),Iridium 90,35 km (E),-7.7,-16°,Iquique,Chile,20.17,70.12,
Mar 10, 13:45:04,-8.2,53°,181° (S),Iridium 39,2 km (W),-8.2,-5°,Iquique,Chile,20.17,70.12,
Mar 6, 16:20:22,0.4,46°,161° (SSE),Iridium 41,41 km (E),-8.0,-13°,Mecca,Saudi Arabia,21.48,39.75,
Mar 7, 16:00:12,-5.4,51°,173° (S),Iridium 39,6 km (E),-8.2,-8°,Mecca,Saudi Arabia,21.48,39.75,
Mar 10, 02:17:40,-0.2,32°,357° (N),Iridium 52,36 km (W),-7.5,-19°,Mecca,Saudi Arabia,21.48,39.75,
Mar 10, 16:01:52,-0.6,51°,169° (SSE),Iridium 15,28 km (E),-8.2,-9°,Mecca,Saudi Arabia,21.48,39.75,
Mar 11, 02:11:47,0.9,30°,356° (N),Iridium 10,52 km (W),-7.3,-20°,Mecca,Saudi Arabia,21.48,39.75,
Mar 12, 02:05:54,-1.7,28°,357° (N),Iridium 13,24 km (W),-7.2,-21°,Mecca,Saudi Arabia,21.48,39.75,
Mar 13, 02:00:04,-6.7,26°,359° (N),Iridium 50,5 km (E),-7.1,-22°,Mecca,Saudi Arabia,21.48,39.75,
Mar 6, 13:32:05,-3.1,48°,165° (SSE),Iridium 15,15 km (W),-8.1,-14°,Havana,Cuba,23.13,82.38,
Mar 6, 23:42:23,-1.0,38°,358° (N),Iridium 12,27 km (W),-7.7,-16°,Havana,Cuba,23.13,82.38,
Mar 7, 23:36:28,0.2,35°,357° (N),Iridium 86,40 km (W),-7.6,-17°,Havana,Cuba,23.13,82.38,
Mar 8, 13:23:15,-2.3,50°,168° (SSE),Iridium 98,18 km (W),-8.1,-12°,Havana,Cuba,23.13,82.38,
Mar 8, 23:30:32,-0.3,34°,1° (N),Iridium 52,33 km (E),-7.5,-18°,Havana,Cuba,23.13,82.38,
Mar 9, 13:18:52,0.7,51°,174° (S),Iridium 15,42 km (W),-8.1,-10°,Havana,Cuba,23.13,82.38,
Mar 9, 23:24:38,-2.5,32°,0° (N),Iridium 10,17 km (E),-7.4,-19°,Havana,Cuba,23.13,82.38,
Mar 10, 23:18:46,0.5,29°,2° (N),Iridium 13,44 km (E),-7.2,-20°,Havana,Cuba,23.13,82.38,
Mar 10, 23:21:43,0.7,30°,357° (N),Iridium 90,47 km (W),-7.4,-20°,Havana,Cuba,23.13,82.38,
Mar 8, 05:01:10,-2.1,44°,10° (N),Iridium 40,11 km (W),-9.4,-9°,Frankfurt,Germany,50.12,8.68,
Mar 10, 04:47:16,-2.7,40°,13° (NNE),Iridium 40,15 km (E),-9.0,-11°,Frankfurt,Germany,50.12,8.68,
Mar 10, 05:55:21,-5.3,17°,76° (ENE),Iridium 72,1 km (E),-5.3,0°,Frankfurt,Germany,50.12,8.68,
Mar 11, 04:09:59,0.4,24°,13° (NNE),Iridium 54,49 km (E),-6.7,-16°,Frankfurt,Germany,50.12,8.68,
Mar 11, 20:00:05,0.6,11°,4° (N),Iridium 21,98 km (E),-6.0,-25°,Frankfurt,Germany,50.12,8.68,
Mar 12, 04:04:00,-6.6,23°,12° (NNE),Iridium 83,4 km (W),-6.7,-17°,Frankfurt,Germany,50.12,8.68,
Mar 12, 05:24:32,-4.9,12°,71° (ENE),Iridium 14,14 km (W),-5.0,-4°,Frankfurt,Germany,50.12,8.68,
Mar 12, 19:53:33,0.6,14°,4° (N),Iridium 70,67 km (E),-6.2,-24°,Frankfurt,Germany,50.12,8.68,
Mar 13, 03:58:13,-6.5,21°,12° (NNE),Iridium 56,3 km (E),-6.5,-18°,Frankfurt,Germany,50.12,8.68,
Mar 13, 05:09:06,-0.3,10°,68° (ENE),Iridium 65,173 km (W),-4.8,-6°,Frankfurt,Germany,50.12,8.68,
Mar 7, 03:32:20,-1.9,32°,15° (NNE),Iridium 83,21 km (E),-7.1,-12°,Helsinki,Finland,60.17,25.0,
Mar 8, 03:26:26,-0.7,30°,16° (NNE),Iridium 56,31 km (E),-7.0,-12°,Helsinki,Finland,60.17,25.0,
